2,05	22,015	1,05	4,015	5	1	8,1	154,621	158,145	219,406	227,683
5,150	16,1	1,15	9,109	15,8	2,1	4,2	398,163	173,368	192,651	190,123
8,2	10,125	1,192	14,125	22,5	2,5	3,5	587,411	271,084	187,691	183,576
11,25	4,175	1,25	19,175	28,7	3,51	2,72	767,197	383,567	78,793	174,789
14,325	1,2	4,325	24,198	34,5	4,2	2,53	966,547	493,813	79,497	154,316
17,35	0,25	8,35	29,251	39	5,02	2,1	1153,789	601,378	177,082	132,817
20,49	5,4	12,411	34,495	46,7	8,2	1,15	1210,926	855,579	267,758	257,425
23,698	10,5	16,505	28,498	53,8	10,1	0,72	1851,381	960,432	371,956	289,519
26,900	15,7	20,61	22,598	65	12,8	0,54	1987,364	1176,283	491,123	321,374
29,45	20,7	24,695	16,699	82	14,4	0,15	2536,123	1293,657	512,859	549,173
32,75	25,75	21,75	9,748	95,4	16,7	0,55	2292,341	1578,624	653,717	784,136
28,8	30,775	18,804	4,775	102,8	18,5	1,76	1988,324	2354,324	717,965	879,152
24,95	35,8	15,85	2,798	117	21,3	2,23	1326,939	3478,926	955,912	901,239
20,84	40,85	12,05	7,85	129,78	25,7	4,61	857,128	4588,675	1169,359	1225,482
16,91	34,855	9,91	13,855	99	29,9	6,16	605,327	5499,367	1292,924	1340,976
10,925	22,865	5,925	19,865	85,5	32,5	8,25	458,386	6468,567	1318,549	1875,846
4,929	16,885	1,011	25,875	71,9	28,7	12,37	218,859	7353,932	1257,354	1916,124
2,933	4,915	5,933	31,899	57,5	24,2	14,26	195,737	9335,124	984,167	863,928
1,935	8,95	10,935	37,951	43,58	19,1	16,51	106,168	11261,946	716,375	703,153
3,95	16,975	16,95	42,975	29,4	19,7	19,74	185,761	12151,387	541,326	631,195
9,81	20,995	22,95	35,015	15,5	21	15,14	790,639	13910,519	475,651	571,588
12,75	24,975	28,108	27,975	12,5	23,56	13,35	1323,784	15485,142	244,856	436,847
15,15	28,95	34,251	19,95	9,8	25,3	8,58	1831,438	17688,125	448,314	341,842
18,2	32,9	38,204	12,915	6,5	28,7	6,74	2321,321	19883,435	644,716	239,425
21,45	36,875	34,248	6,875	4,4	31,56	4,85	2891,845	14972,834	829,942	122,147
24,325	40,865	28,325	1,865	2,5	37,1	6,21	3308,614	9080,562	949,316	95,954
27,35	46,855	23,351	5,855	1,3	34,7	9,52	3529,956	7887,987	1148,231	150,492
30,4	52,85	18,408	9,85	4,7	26,2	10,75	4730,129	5688,951	1347,987	254,897
34,5	47,775	13,495	14,775	11,2	23,7	12,95	5917,152	3455,494	1542,967	458,289
29,6	42,75	8,607	19,75	14,7	20,36	8,1	8678,654	1211,209	1732,856	672,164
24,7	37,71	3,697	25,697	17,8	17,7	4,15	9212,145	996,197	1915,632	853,356
19,75	32,603	1,75	31,605	20,1	13,34	2,36	12886,243	677,325	1493,135	427,168
14,8	27,495	2,798	37,495	40,52	11,72	1,35	12362,345	364,615	1177,824	206,123
9,85	22,394	5,85	44,415	65,2	9,9	2,13	10632,879	152,534	963,453	182,659
4,907	17,245	8,913	36,255	80,76	7,74	4,57	9267,156	45,178	779,167	93,834
1,91	12,192	12,91	28,205	91,1	6,36	6,75	7070,531	36,176	580,836	71,345
6,925	7,175	17,925	19,175	109,5	5,7	9,26	4984,243	20,364	287,192	66,841
12,929	2,125	22,929	9,125	122,9	4,75	11,79	2881,956	10,428	185,834	93,952
18,01	1,105	27,933	3,091	128,3	3,65	13,12	1616,829	8,475	301,985	109,463
24,935	3,01	21,935	1,985	94,5	3,52	15,36	973,329	16,924	528,591	233,415
19,95	13,11	15,95	4,115	57,6	2,72	12,85	449,421	54,183	602,861	308,613
14,02	18,115	3,995	9,115	35,8	2,34	10,34	225,356	96,324	705,817	407,319
9,05	12,128	9,95	15,12	15,26	2,16	12,68	176,578	176,457	978,473	282,263
4,935	6,131	17,935	22,13	9,52	1,76	14,32	170,948	195,814	1081,417	184,132
1,925	2,135	25,925	29,135	4,8	1,48	16,16	168,334	204,549	1178,653	61,953
